City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,quellon,-43.1167,-73.6167,50.65,73,86,10.31,CL,1713546623
336,kampene,-3.6,26.6667,72.93,96,100,2.66,CD,1713546626
337,tual,-5.6667,132.75,82.89,78,100,1.77,ID,1713546629
338,saynshand,44.8824,110.1163,46.18,20,12,13.4,MN,1713546632
339,motygino,58.1831,94.7592,36.79,97,100,5.99,RU,1713546635
340,green valley,31.8543,-110.9937,83.79,16,15,10.13,US,1713546601
341,rudnichnyy,59.617,52.4703,48.78,95,89,5.64,RU,1713546640
342,candolim,15.5181,73.7626,82.4,78,27,3.67,IN,1713546601
343,tura,25.5198,90.2201,79.29,35,0,4.38,IN,1713546646
344,ust'-ilimsk,58.0006,102.6619,36.45,93,100,5.01,RU,1713546649
345,port alfred,-33.5906,26.891,69.19,90,30,1.01,ZA,1713546652
346,borogontsy,62.6683,131.1683,24.46,97,100,3.62,RU,1713546655
347,porto novo,6.4965,2.6036,86.74,71,77,11.01,BJ,1713546658
348,uturoa,-16.7333,-151.4333,82.89,77,65,15.73,PF,1713546660
349,ta`u,-14.2336,-169.5144,84.16,76,89,11.77,AS,1713546663
350,lihue,21.9789,-159.3672,71.19,77,100,18.41,US,1713546666
351,vieux fort,13.7167,-60.95,87.15,74,40,16.11,LC,1713546668
352,tidjikja,18.5564,-11.4271,100.56,4,10,4.85,MR,1713546673
353,bom jesus,-9.0744,-44.3586,90.36,51,65,5.32,BR,1713546679
354,geraldton,-28.7667,114.6,59.41,72,0,10.36,AU,1713546681
355,grottaminarda,41.0697,15.0589,54.91,75,57,6.6,IT,1713546684
356,champerico,14.3,-91.9167,87.49,59,50,12.75,GT,1713546687
357,pisco,-13.7,-76.2167,71.02,88,100,8.05,PE,1713546690
358,taroa,8.7058,171.2275,82.22,83,50,21.81,MH,1713546692
359,howard springs,-12.497,131.047,80.51,81,43,6.8,AU,1713546695
360,pucheng,27.9233,118.5333,66.52,99,100,2.17,CN,1713546698
361,vrangel',42.7297,133.0839,40.53,92,31,4.59,RU,1713546631
362,constantia,44.1833,28.65,50.68,74,25,8.1,RO,1713546704
363,bodo,67.28,14.405,40.77,36,0,13.8,NO,1713546706
